ticket_id,user_id,fecha,canal,tiempo_primera_respuesta_min,tiempo_resolucion_hs,resuelto,tema_principal,subtema,csat_score,reapertura
CH0094,U1521,2024-01-26,chat,5,14.9,no,facturacion,factura_electronica_avanzada,1,si
CH0095,U1621,2023-08-10,chat,14,2.3,si,reportes,balance_general,3,no
CH0096,U0914,2024-02-28,chat,6,2.9,si,integraciones,pasarela_pago,3,no
CH0097,U0782,2023-11-26,chat,14,2.2,si,cuenta,reactivacion,5,no
CH0098,U0867,2024-02-02,chat,5,24.4,no,facturacion,errores_dian,1,si
CH0099,U1280,2023-01-14,chat,25,2.1,si,reportes,flujo_caja,4,no
CH0100,U1840,2023-09-05,chat,8,0.6,si,configuracion,plan_cuentas,3,no
CH0101,U0448,2024-02-22,chat,20,2.9,si,facturacion,descarga_xml,5,no
CH0102,U0829,2023-11-26,chat,17,2.5,si,facturacion,emision_factura,5,no
CH0103,U1323,2023-01-14,chat,22,2.6,si,facturacion,factura_electronica_avanzada,3,no
CH0104,U1124,2023-04-22,chat,3,2.1,si,configuracion,datos_empresa,4,no
CH0105,U2000,2023-07-09,chat,15,11.5,no,facturacion,factura_electronica_avanzada,3,no
CH0106,U0139,2023-03-06,chat,10,0.7,si,facturacion,emision_factura,5,no
CH0107,U0369,2023-11-02,chat,22,2,si,cuenta,reactivacion,4,no
CH0108,U0189,2023-10-25,chat,5,1.8,si,integraciones,api_externa,5,no
CH0109,U1797,2023-10-02,chat,8,1.8,si,reportes,estado_resultados,3,no
CH0110,U1716,2023-02-17,chat,16,1.9,si,cuenta,suspension_cuenta,3,no
CH0111,U1571,2023-09-02,chat,15,1.4,si,cuenta,cambio_plan,3,no
CH0112,U0572,2023-04-07,chat,17,2.7,si,integraciones,banco,4,no
CH0113,U1677,2023-08-17,chat,13,2.2,si,facturacion,errores_sat,5,no
CH0114,U0660,2023-01-27,chat,24,2.6,si,configuracion,plan_cuentas,5,no
CH0115,U0121,2023-04-20,chat,15,1.9,si,configuracion,onboarding_general,4,no
CH0116,U0967,2023-07-08,chat,8,1.3,si,facturacion,errores_dian,3,no
CH0117,U0530,2023-12-05,chat,24,15.9,no,facturacion,errores_sat,2,no
CH0118,U0215,2023-03-29,chat,3,0.6,si,pagos,fallo_cobro,3,no
CH0119,U1009,2023-10-04,chat,4,6.8,no,facturacion,errores_sat,1,si
CH0120,U1735,2023-05-03,chat,10,23.5,no,configuracion,datos_empresa,3,si
CH0121,U1002,2023-12-27,chat,18,2.5,si,facturacion,descarga_xml,4,no
CH0122,U0173,2023-10-16,chat,2,1.5,si,facturacion,factura_electronica_avanzada,3,no
CH0123,U0575,2023-04-25,chat,20,2.2,si,pagos,actualizacion_tarjeta,5,no
CH0124,U0154,2023-08-11,chat,22,2.2,si,cuenta,cambio_plan,4,no
CH0125,U0271,2023-08-09,chat,5,1.2,si,reportes,balance_general,3,no
CH0126,U1484,2023-07-15,chat,2,1,si,reportes,flujo_caja,4,no
CH0127,U1477,2023-06-19,chat,20,0.7,si,configuracion,onboarding_general,4,no
CH0128,U1108,2023-09-17,chat,14,25,no,reportes,estado_resultados,1,si
CH0129,U0922,2023-05-21,chat,13,2,si,facturacion,emision_factura,3,no
CH0130,U0478,2023-10-05,chat,11,13.9,no,integraciones,api_externa,2,no
CH0131,U1499,2024-01-02,chat,9,2.4,si,cuenta,reactivacion,5,no
CH0132,U1323,2023-01-19,chat,21,5.5,no,facturacion,errores_dian,1,si
CH0133,U0959,2023-11-05,chat,11,2.4,si,facturacion,errores_sat,5,no
CH0134,U0523,2023-04-03,chat,24,0.5,si,facturacion,factura_electronica_avanzada,3,no
CH0135,U1316,2023-09-07,chat,19,12.2,no,pagos,actualizacion_tarjeta,2,si
CH0136,U1349,2023-02-10,chat,12,2.9,si,cuenta,suspension_cuenta,4,no
CH0137,U1008,2023-07-26,chat,25,1.8,si,reportes,balance_general,3,no
CH0138,U0041,2023-07-13,chat,15,16.1,no,reportes,estado_resultados,3,no
CH0139,U1506,2023-07-09,chat,15,0.8,si,reportes,exportar_excel,4,no
CH0140,U1439,2023-11-23,chat,3,1.3,si,facturacion,errores_dian,3,no
CH0141,U1412,2023-04-30,chat,20,1,si,pagos,fallo_cobro,5,no
CH0142,U0520,2023-07-13,chat,14,4.5,no,facturacion,errores_dian,2,si
CH0143,U0802,2023-01-23,chat,6,1.5,si,facturacion,errores_sat,3,no
CH0144,U1408,2023-10-12,chat,24,24.8,no,facturacion,errores_sat,1,si
CH0145,U0955,2023-11-04,chat,5,23.1,no,integraciones,pasarela_pago,2,si
CH0146,U1933,2023-01-12,chat,4,1.8,si,integraciones,banco,3,no
CH0147,U1905,2023-05-22,chat,12,2,si,facturacion,errores_dian,4,no
CH0148,U0560,2024-01-21,chat,4,1,si,configuracion,datos_empresa,4,no
CH0149,U1333,2023-09-09,chat,24,4.6,no,pagos,actualizacion_tarjeta,1,si
CH0150,U0273,2023-01-24,chat,8,2.6,si,facturacion,emision_factura,4,no
CH0151,U1042,2023-08-08,chat,16,1.3,si,facturacion,errores_dian,3,no
CH0152,U1991,2024-01-19,chat,12,2.8,si,reportes,flujo_caja,5,no
CH0153,U0123,2023-11-30,chat,9,1.6,si,facturacion,descarga_xml,3,no
CH0154,U0552,2023-04-03,chat,10,0.7,si,configuracion,datos_empresa,4,no
CH0155,U1505,2023-04-25,chat,6,1.6,si,integraciones,pasarela_pago,4,no
CH0156,U1042,2024-01-29,chat,24,2.2,si,reportes,flujo_caja,4,no
CH0157,U1118,2023-06-25,chat,4,0.9,si,configuracion,onboarding_general,5,no
CH0158,U1015,2023-08-31,chat,8,1.5,si,facturacion,descarga_xml,3,no
CH0159,U0164,2023-09-10,chat,23,0.7,si,configuracion,datos_empresa,5,no
CH0160,U0124,2023-02-01,chat,25,1.3,si,reportes,estado_resultados,5,no
CH0161,U0676,2023-11-04,chat,22,23.9,no,configuracion,plan_cuentas,3,si
CH0162,U1141,2023-08-31,chat,17,1.3,si,facturacion,errores_sat,4,no
CH0163,U1923,2023-08-30,chat,5,0.8,si,facturacion,errores_dian,5,no
CH0164,U1799,2023-01-04,chat,6,2.5,si,configuracion,onboarding_general,5,no
CH0165,U1581,2023-08-09,chat,12,1.1,si,reportes,flujo_caja,4,no
CH0166,U0796,2023-04-02,chat,16,1.1,si,reportes,exportar_excel,3,no
CH0167,U0480,2024-02-03,chat,11,2.9,si,integraciones,pasarela_pago,3,no
CH0168,U1240,2023-08-18,chat,13,1.3,si,configuracion,onboarding_general,5,no
CH0169,U1924,2023-03-28,chat,7,2.6,si,facturacion,emision_factura,4,no
CH0170,U0527,2023-05-14,chat,17,12.6,no,pagos,disputa,1,si
CH0171,U1572,2023-12-29,chat,2,1.9,si,reportes,flujo_caja,5,no
CH0172,U1790,2023-11-07,chat,7,5.5,no,pagos,disputa,3,no
CH0173,U1481,2023-03-17,chat,18,2.6,si,configuracion,plan_cuentas,4,no
CH0174,U1335,2023-11-29,chat,10,2,si,reportes,flujo_caja,3,no
CH0175,U0492,2023-10-09,chat,12,2.7,si,facturacion,errores_dian,3,no
CH0176,U0320,2023-11-12,chat,10,16.9,no,facturacion,descarga_xml,3,si
CH0177,U1439,2024-01-06,chat,22,2.9,si,reportes,balance_general,5,no
CH0178,U1459,2023-08-20,chat,14,2.7,si,facturacion,errores_sat,4,no
CH0179,U0340,2023-06-07,chat,16,0.8,si,configuracion,integracion_banco,3,no
CH0180,U0984,2024-02-05,chat,19,2.7,si,facturacion,descarga_xml,3,no
CH0181,U0134,2024-01-15,chat,17,2.8,si,pagos,fallo_cobro,5,no
CH0182,U1081,2024-01-05,chat,17,1.2,si,integraciones,banco,3,no
CH0183,U1166,2023-12-20,chat,5,1.5,si,integraciones,banco,4,no
CH0184,U0348,2023-06-09,chat,25,1.5,si,integraciones,pasarela_pago,5,no
CH0185,U1183,2023-11-26,chat,25,2.7,si,configuracion,datos_empresa,5,no
CH0186,U0284,2023-04-03,chat,11,2.9,si,reportes,estado_resultados,4,no
CH0187,U1012,2023-07-27,chat,22,26.3,no,configuracion,datos_empresa,3,si
CH0188,U0804,2023-08-15,chat,4,1.8,si,reportes,flujo_caja,5,no
CH0189,U0289,2023-06-20,chat,16,2.2,si,facturacion,errores_dian,3,no
CH0190,U1224,2023-09-15,chat,3,4.6,no,reportes,exportar_excel,1,no
CH0191,U0905,2023-05-03,chat,10,0.8,si,facturacion,emision_factura,3,no
CH0192,U0709,2023-06-11,chat,18,24.6,no,cuenta,cambio_plan,1,si
CH0193,U0683,2023-02-13,chat,16,2,si,facturacion,emision_factura,4,no
CH0194,U0935,2023-08-30,chat,22,2.2,si,facturacion,emision_factura,3,no
CH0195,U0200,2024-02-11,chat,14,11.1,no,facturacion,errores_sat,1,no
CH0196,U0607,2023-03-24,chat,13,0.5,si,facturacion,errores_dian,3,no
CH0197,U0498,2023-12-22,chat,25,27.2,no,pagos,fallo_cobro,1,no
CH0198,U0691,2023-06-03,chat,24,1.3,si,pagos,fallo_cobro,4,no
CH0199,U1187,2023-10-29,chat,23,2.6,si,integraciones,api_externa,4,no
CH0200,U0087,2023-04-30,chat,5,15.5,no,configuracion,plan_cuentas,2,si
CH0201,U0383,2023-01-22,chat,4,23.2,no,facturacion,errores_dian,2,no
CH0202,U1873,2023-04-09,chat,14,18.8,no,configuracion,plan_cuentas,2,si
CH0203,U0482,2023-08-03,chat,22,11.2,no,reportes,exportar_excel,3,si
CH0204,U0240,2023-01-16,chat,23,2.9,si,integraciones,api_externa,4,no
CH0205,U1560,2023-04-09,chat,20,0.6,si,pagos,fallo_cobro,4,no
CH0206,U0288,2023-10-25,chat,11,2,si,facturacion,emision_factura,3,no
CH0207,U1258,2024-02-29,chat,7,1.2,si,facturacion,errores_dian,3,no
CH0208,U0883,2023-11-05,chat,23,2.7,si,facturacion,factura_electronica_avanzada,5,no
CH0209,U0425,2023-09-15,chat,17,0.8,si,facturacion,emision_factura,3,no
CH0210,U1048,2023-03-19,chat,25,1.8,si,reportes,balance_general,3,no
CH0211,U0756,2023-01-02,chat,23,20.3,no,configuracion,onboarding_general,2,si
CH0212,U0873,2023-02-10,chat,15,2.4,si,integraciones,api_externa,5,no
CH0213,U0071,2023-05-02,chat,3,2.9,si,facturacion,errores_dian,5,no
CH0214,U1428,2023-05-19,chat,15,0.7,si,integraciones,banco,3,no
CH0215,U1680,2023-05-21,chat,8,14,no,cuenta,reactivacion,2,no
CH0216,U0210,2024-01-12,chat,5,3,si,facturacion,errores_dian,5,no
CH0217,U1294,2024-01-14,chat,22,0.8,si,facturacion,descarga_xml,5,no
CH0218,U1507,2023-02-25,chat,21,3,si,pagos,disputa,3,no
CH0219,U1234,2023-02-04,chat,9,0.7,si,reportes,exportar_excel,5,no
CH0220,U1166,2023-03-07,chat,2,23.8,no,cuenta,reactivacion,3,si
CH0221,U1611,2023-07-23,chat,2,27.8,no,pagos,fallo_cobro,2,si
CH0222,U0028,2023-02-24,chat,4,3,si,reportes,flujo_caja,3,no
CH0223,U1279,2023-07-17,chat,11,1.2,si,reportes,estado_resultados,5,no
CH0224,U0547,2023-11-08,chat,17,0.6,si,pagos,actualizacion_tarjeta,3,no
CH0225,U1938,2023-03-01,chat,13,1,si,reportes,balance_general,4,no
CH0226,U0452,2023-04-02,chat,13,21.9,no,cuenta,cambio_plan,3,si
CH0227,U1759,2023-10-15,chat,22,23.7,no,configuracion,onboarding_general,3,si
CH0228,U0543,2023-07-30,chat,10,2.3,si,facturacion,emision_factura,5,no
CH0229,U0829,2023-10-19,chat,25,2.3,si,facturacion,errores_dian,5,no
CH0230,U1829,2023-08-19,chat,23,10.9,no,facturacion,factura_electronica_avanzada,1,no
CH0231,U1161,2023-02-20,chat,22,1.8,si,integraciones,banco,5,no
CH0232,U0812,2024-02-21,chat,14,2.2,si,reportes,exportar_excel,3,no
CH0233,U0149,2023-09-17,chat,12,24.4,no,configuracion,datos_empresa,2,si
CH0234,U0388,2023-11-07,chat,10,0.5,si,cuenta,cambio_plan,5,no
CH0235,U1353,2023-09-29,chat,20,11.8,no,cuenta,cambio_plan,3,no
CH0236,U1053,2024-02-09,chat,8,2.5,si,configuracion,plan_cuentas,4,no
CH0237,U0049,2023-04-20,chat,16,2.4,si,facturacion,errores_dian,5,no
CH0238,U1619,2023-10-12,chat,15,2.2,si,configuracion,plan_cuentas,5,no
CH0239,U0127,2023-08-22,chat,10,2.9,si,facturacion,errores_sat,4,no
CH0240,U1997,2023-01-12,chat,25,20.6,no,facturacion,errores_dian,1,no
CH0241,U1523,2023-02-06,chat,19,2.3,si,integraciones,banco,4,no
CH0242,U1800,2023-01-18,chat,2,1.2,si,pagos,actualizacion_tarjeta,5,no
CH0243,U1346,2023-02-25,chat,25,27.2,no,facturacion,errores_sat,3,no
CH0244,U1895,2023-02-23,chat,2,18,no,reportes,estado_resultados,2,no
CH0245,U0510,2023-12-25,chat,20,1.4,si,facturacion,errores_dian,1,no
CH0246,U1919,2023-03-21,chat,23,22.3,no,integraciones,pasarela_pago,3,no
CH0247,U0129,2023-01-30,chat,21,0.8,si,facturacion,factura_electronica_avanzada,4,no
CH0248,U0221,2023-09-12,chat,15,0.7,si,pagos,disputa,3,no
CH0249,U0323,2023-05-09,chat,24,1.5,si,facturacion,errores_sat,5,no
CH0250,U0843,2024-02-21,chat,4,1.5,si,integraciones,pasarela_pago,5,no
CH0251,U0612,2023-09-22,chat,4,24.3,no,facturacion,emision_factura,1,no
CH0252,U0425,2023-04-23,chat,24,1.5,si,reportes,flujo_caja,4,no
CH0253,U0756,2023-11-17,chat,14,2.8,si,facturacion,factura_electronica_avanzada,5,no
CH0254,U1326,2024-02-13,chat,8,1.3,si,facturacion,errores_dian,4,no
CH0255,U0806,2023-03-28,chat,7,0.6,si,configuracion,datos_empresa,4,no
CH0256,U0410,2023-09-20,chat,23,21.5,no,integraciones,banco,2,si
CH0257,U0753,2023-01-04,chat,21,2.8,si,cuenta,suspension_cuenta,5,no
CH0258,U1313,2023-02-05,chat,15,1.5,si,facturacion,descarga_xml,4,no
CH0259,U0367,2023-02-13,chat,2,1.7,si,configuracion,datos_empresa,3,no
CH0260,U1706,2023-07-10,chat,20,2.9,si,facturacion,descarga_xml,5,no
CH0261,U1043,2024-01-18,chat,25,13,no,facturacion,factura_electronica_avanzada,2,si
CH0262,U1471,2024-02-09,chat,13,1.6,si,facturacion,errores_dian,3,no
CH0263,U0283,2023-02-19,chat,17,1.9,si,facturacion,factura_electronica_avanzada,4,no
CH0264,U1897,2023-11-26,chat,23,1.8,si,reportes,balance_general,3,no
CH0265,U1265,2023-02-08,chat,22,27.7,no,configuracion,datos_empresa,3,si
CH0266,U1473,2023-05-15,chat,6,2.1,si,pagos,disputa,3,no
CH0267,U0501,2023-02-24,chat,11,2.4,si,configuracion,onboarding_general,3,no
CH0268,U0125,2023-04-22,chat,3,10.7,no,facturacion,emision_factura,1,no
CH0269,U0432,2023-02-03,chat,11,24,no,facturacion,errores_dian,1,si
CH0270,U0980,2023-09-15,chat,23,4.7,no,pagos,actualizacion_tarjeta,3,si
CH0271,U0283,2024-01-14,chat,6,27.2,no,facturacion,errores_sat,2,no
CH0272,U0627,2023-10-16,chat,16,2.8,si,configuracion,integracion_banco,5,no
CH0273,U0377,2023-06-29,chat,14,1.6,si,integraciones,banco,3,no
CH0274,U0434,2023-06-28,chat,2,20.6,no,integraciones,pasarela_pago,3,no
CH0275,U0344,2023-12-25,chat,16,1,si,configuracion,datos_empresa,3,no
CH0276,U0908,2023-02-27,chat,5,1.2,si,facturacion,errores_dian,5,no
CH0277,U0377,2023-03-07,chat,3,0.9,si,pagos,actualizacion_tarjeta,3,no
CH0278,U1500,2023-05-25,chat,6,2.8,si,integraciones,banco,3,no
CH0279,U1470,2023-03-12,chat,8,0.7,si,facturacion,errores_sat,3,no
CH0280,U0833,2023-02-08,chat,15,21.7,no,reportes,flujo_caja,2,si
CH0281,U1867,2023-07-31,chat,20,1.7,si,facturacion,factura_electronica_avanzada,5,no
CH0282,U1188,2023-06-19,chat,4,0.8,si,configuracion,integracion_banco,3,no
CH0283,U0492,2023-10-26,chat,3,15.9,no,facturacion,errores_dian,3,no
CH0284,U0373,2023-07-25,chat,11,1.5,si,facturacion,errores_dian,4,no
CH0285,U1633,2023-09-18,chat,19,1.2,si,configuracion,plan_cuentas,4,no
CH0286,U0142,2024-02-20,chat,10,1.9,si,facturacion,emision_factura,5,no
CH0287,U1373,2023-01-12,chat,13,1.6,si,facturacion,descarga_xml,5,no
CH0288,U0529,2023-11-20,chat,11,0.7,si,integraciones,api_externa,5,no
CH0289,U1234,2023-05-11,chat,7,2.8,si,configuracion,plan_cuentas,4,no
CH0290,U0799,2023-08-08,chat,3,1.8,si,configuracion,integracion_banco,3,no
CH0291,U0245,2023-10-03,chat,18,0.7,si,facturacion,descarga_xml,5,no
CH0292,U0903,2023-11-27,chat,9,1.6,si,facturacion,descarga_xml,4,no
CH0293,U1992,2023-09-23,chat,25,2.3,si,configuracion,plan_cuentas,5,no
CH0294,U0497,2023-11-25,chat,22,2.1,si,pagos,disputa,3,no
CH0295,U0651,2023-08-01,chat,17,2.5,si,pagos,actualizacion_tarjeta,3,no
CH0296,U1572,2023-11-21,chat,13,1.6,si,configuracion,datos_empresa,5,no
CH0297,U0943,2023-11-04,chat,25,2.7,si,reportes,exportar_excel,5,no
CH0298,U1311,2023-07-11,chat,12,4.6,no,facturacion,descarga_xml,1,no
CH0299,U1901,2023-05-15,chat,5,0.9,si,configuracion,plan_cuentas,3,no
CH0300,U1308,2023-04-04,chat,20,1.4,si,configuracion,plan_cuentas,4,no
CH0301,U0108,2023-07-07,chat,13,2.1,si,reportes,exportar_excel,3,no
CH0302,U1021,2023-08-29,chat,11,1.4,si,facturacion,descarga_xml,4,no
CH0303,U1869,2023-03-21,chat,25,1.6,si,facturacion,errores_sat,3,no
CH0304,U0049,2023-04-05,chat,6,0.7,si,configuracion,integracion_banco,3,no
CH0305,U0938,2023-03-24,chat,14,2.3,si,cuenta,cambio_plan,3,no
CH0306,U1484,2023-05-23,chat,18,0.6,si,configuracion,plan_cuentas,4,no
CH0307,U0349,2023-07-11,chat,3,1.1,si,facturacion,emision_factura,5,no
CH0308,U1174,2023-06-25,chat,14,3,si,facturacion,errores_sat,3,no
CH0309,U0767,2024-01-11,chat,2,1.4,si,configuracion,integracion_banco,5,no
CH0310,U0233,2023-12-11,chat,25,1.3,si,configuracion,onboarding_general,4,no
CH0311,U1372,2023-06-29,chat,6,1.1,si,cuenta,suspension_cuenta,3,no
CH0312,U1855,2024-01-16,chat,2,2.5,si,reportes,balance_general,5,no
CH0313,U1167,2023-07-12,chat,17,0.6,si,facturacion,descarga_xml,3,no
CH0314,U0502,2023-04-06,chat,5,6.9,no,cuenta,reactivacion,2,no
CH0315,U0771,2023-08-31,chat,20,2.7,si,configuracion,onboarding_general,5,no
CH0316,U0882,2023-07-01,chat,9,1.2,si,pagos,actualizacion_tarjeta,3,no
CH0317,U0368,2023-01-17,chat,17,25.6,no,facturacion,emision_factura,2,si
CH0318,U0340,2023-03-15,chat,19,2,si,cuenta,reactivacion,5,no
CH0319,U1161,2023-04-09,chat,25,2.8,si,facturacion,descarga_xml,3,no
CH0320,U0169,2023-09-06,chat,14,20.6,no,configuracion,integracion_banco,1,si
CH0321,U1563,2023-09-22,chat,3,0.7,si,facturacion,errores_dian,3,no
CH0322,U1408,2023-10-25,chat,6,16.7,no,configuracion,plan_cuentas,1,no
CH0323,U1012,2023-06-21,chat,3,2.5,si,pagos,actualizacion_tarjeta,5,no
CH0324,U0496,2023-11-19,chat,7,1.9,si,reportes,exportar_excel,4,no
CH0325,U0071,2023-05-23,chat,5,21.1,no,configuracion,integracion_banco,3,si
CH0326,U0666,2023-11-20,chat,11,2,si,facturacion,factura_electronica_avanzada,5,no
