user_id,nombre_empresa,segmento,pais,plan,monto_mensual_usd,fecha_registro,fecha_ultimo_pago,estado_cuenta,metodo_pago,fecha_retiro,tipo_retiro,motivo_principal,motivo_secundario,lo_reemplaza_con,nps_salida,comentario_libre,fecha_primer_login,configuracion_empresa_completa,empleados_cargados,plan_cuentas_configurado,primer_factura_emitida,dias_primer_factura,integracion_banco_conectada,facturas_emitidas_mes1,facturas_emitidas_mes3,reportes_generados_mes3,usuarios_adicionales,modulo_nomina_activo,modulo_inventario_activo,modulo_cxc_activo,login_ultimos_30_dias,sesiones_promedio_semana,chat_tickets,chat_no_resueltos,chat_reaperturas,chat_csat_prom,chat_tpr_prom,wa_tickets,wa_deriva_agente,wa_negativos,tel_llamadas,tel_escalados,tel_nps_prom,usa_soporte,soporte_tickets_total,friccion,canal_mas_usado
U0011,Pérez Reyes & Partners,Contador,Panamá,Growth,35,2022-06-13,2023-12-18,inactivo,transferencia,2023-03-07,voluntario,precio_alto,,Contpaqi,5,mis clientes usan otro sistema y quería compatibilidad,44725,no,no,no,si,2,no,8,11,3,2,no,no,no,si,1,1,0,0,3,24,0,0,0,0,0,,1,1,0,chat
U0012,Torres Ramírez Contadores,Contador,México,Enterprise,89,2022-01-12,2024-01-08,activo,transferencia,,,,,,,,44573,si,no,si,si,9,si,21,28,,5,no,no,si,si,4.6,0,0,0,,,4,2,1,0,0,,1,4,1,whatsapp
U0013,Importadora González S.A.,Pyme,Colombia,Starter,19,2022-01-04,2023-05-15,cancelado,OXXO,2024-01-07,involuntario,transferencia_rechazada,,ninguno,,cambió de banco y no actualizó los datos de pago,44565,no,no,si,si,11,no,6,11,1,1,no,no,si,no,0,2,1,0,2,12.5,0,0,0,0,0,,1,2,1,chat
U0014,Torres Jiménez & Asociados,Contador,Colombia,Pro,49,2023-09-16,2024-01-24,activo,transferencia,,,,,,,,45185,si,si,si,si,3,si,5,9,5,5,no,no,si,si,4.1,2,1,1,3,7,1,0,0,0,0,,1,3,1,chat
U0015,Panadería Medina S.A.,Pyme,México,Starter,19,2023-01-07,2023-08-18,suspendido,tarjeta,,,,,,,,44933,no,no,si,no,,no,1,5,0,1,no,no,no,no,1,2,0,0,4.5,13.5,0,0,0,0,0,,1,2,0,chat
U0016,Torres González Fiscalistas,Contador,República Dominicana,Enterprise,89,2023-06-30,2024-01-09,activo,transferencia,,,,,,,,45107,si,si,si,si,9,no,35,68,3,6,no,no,no,si,6.3,0,0,0,,,1,0,1,0,0,,1,1,1,whatsapp
U0017,Farmacia Reyes & Cía,Pyme,México,Enterprise,89,2023-07-07,2024-02-14,activo,tarjeta,,,,,,,,45114,si,si,si,si,7,si,40,90,2,2,no,no,si,si,4.7,1,0,0,4,14,0,0,0,0,0,,1,1,0,chat
U0018,Constructora Sánchez S.A.,Pyme,Panamá,Growth,35,2022-09-11,2024-01-22,activo,tarjeta,,,,,,,,44815,si,si,si,si,6,no,6,12,0,1,no,no,si,si,3.4,2,0,0,3,8.5,0,0,0,0,0,,1,2,0,chat
U0019,Farmacia Ortiz,Pyme,Costa Rica,Starter,19,2022-02-02,2023-09-19,inactivo,tarjeta,2024-01-10,voluntario,no_vio_valor,,no_sabe,5,necesitaba facturación electrónica avanzada y no funcionaba bien,44594,no,no,si,no,,no,2,,,1,no,no,no,no,1.4,0,0,0,,,0,0,0,1,1,1,1,1,1,telefono
U0020,Panadería Rodríguez,Pyme,Ecuador,Growth,35,2023-04-30,2024-01-31,activo,PSE,,,,,,,,45046,si,si,si,si,9,no,36,57,14,2,no,no,si,si,3.5,0,0,0,,,1,0,0,0,0,,1,1,0,whatsapp
U0021,Clínica Flores S.A.,Pyme,México,Growth,35,2022-02-25,2024-02-11,activo,tarjeta,,,,,,,,44617,si,si,si,si,10,no,25,55,4,1,no,si,no,si,2.3,1,0,0,4,3,0,0,0,0,0,,1,1,0,chat
U0022,Repuestos Martínez,Pyme,Colombia,Growth,35,2023-03-09,2024-01-30,activo,tarjeta,,,,,,,,44994,si,si,si,si,10,no,7,16,9,1,no,si,si,si,4,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0023,Vargas Sánchez Consultores,Contador,México,Starter,19,2023-07-08,2023-09-24,inactivo,OXXO,,,,,,,,45115,no,no,no,no,,no,1,2,2,2,no,no,si,no,0.8,2,1,0,3,7.5,1,1,1,0,0,,1,3,1,chat
U0024,Farmacia Morales,Pyme,México,Pro,49,2022-03-02,2024-01-01,activo,OXXO,,,,,,,,44622,si,si,si,si,9,no,14,30,0,5,no,no,si,si,5.8,1,0,0,5,6,1,0,0,0,0,,1,2,0,chat
U0025,Ramos López & Partners,Contador,Costa Rica,Pro,49,2023-11-09,2024-01-10,activo,tarjeta,,,,,,,,45239,si,si,si,si,9,no,24,47,0,5,si,no,si,si,6.1,0,0,0,,,1,1,1,0,0,,1,1,1,whatsapp
U0026,Torres González & Asociados,Contador,Colombia,Growth,35,2022-02-21,2024-02-02,activo,PSE,,,,,,,,44613,si,si,si,si,8,no,32,62,11,2,no,no,si,si,4.7,1,0,0,3,20,0,0,0,0,0,,1,1,0,chat
U0027,Estudio Medina Consultores,Contador,Colombia,Growth,35,2023-09-02,2024-02-25,activo,tarjeta,,,,,,,,45171,si,si,no,si,6,no,35,66,0,2,no,no,si,si,1.6,0,0,0,,,1,0,0,1,0,1,1,2,0,whatsapp
U0028,Farmacia Pérez del Norte,Pyme,Colombia,Starter,19,2023-11-05,2024-02-03,activo,tarjeta,,,,,,,,45235,si,si,no,si,7,no,4,9,3,1,no,si,no,si,2.9,1,0,0,3,4,0,0,0,0,0,,1,1,0,chat
U0029,Distribuidora García,Pyme,México,Growth,35,2022-11-04,2024-02-29,activo,transferencia,,,,,,,,44869,si,no,si,si,8,no,22,30,10,1,no,si,no,si,1.8,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0030,Medina Martínez Consultores,Contador,Ecuador,Starter,19,2022-08-07,2024-01-09,activo,OXXO,,,,,,,,44780,si,si,si,si,9,no,10,13,,1,no,no,no,si,5.4,0,0,0,,,2,1,1,0,0,,1,2,1,whatsapp
U0031,Ferretería Vargas,Pyme,Colombia,Pro,49,2023-12-22,2024-02-21,activo,transferencia,,,,,,,,45282,si,no,si,si,9,si,27,59,4,1,no,no,si,si,3.7,3,0,0,3.666666667,14.66666667,1,1,1,1,0,2,1,5,1,chat
U0032,Jiménez Pérez Contadores,Contador,Ecuador,Growth,35,2022-04-29,2023-07-10,suspendido,tarjeta,2023-04-02,voluntario,soporte_deficiente,,ninguno,6,la integración bancaria nunca funcionó,44680,no,no,si,si,1,no,8,,,2,no,no,no,no,1,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0033,Ferretería Martínez Plus,Pyme,Costa Rica,Pro,49,2023-06-02,2024-02-27,activo,PSE,,,,,,,,45079,si,si,si,si,8,si,25,41,,3,no,si,si,si,5.1,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0034,Constructora Cruz S.A.,Pyme,Colombia,Pro,49,2023-10-15,2023-03-24,cancelado,transferencia,,,,,,,,45214,si,si,no,si,6,no,5,10,3,6,no,no,si,no,0,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0035,Tienda Cruz,Pyme,Panamá,Pro,49,2023-07-13,2024-01-24,activo,transferencia,,,,,,,,45120,si,si,no,si,7,no,9,18,14,3,no,no,si,si,6,2,1,1,3,17,0,0,0,1,0,5,1,3,1,chat
U0036,Transporte Vargas Express,Pyme,Panamá,Pro,49,2022-02-10,2023-08-03,suspendido,transferencia,,,,,,,,44602,si,no,no,si,12,si,3,4,4,2,no,no,no,no,0.4,1,1,1,1,3,0,0,0,0,0,,1,1,1,chat
U0037,Pérez García Consultores,Contador,Costa Rica,Enterprise,89,2022-08-31,2023-12-25,suspendido,tarjeta,2024-01-06,voluntario,migro_a_competidor,,ninguno,4,el módulo de nómina no cubría mis necesidades,44804,no,si,si,si,9,si,10,22,1,2,si,no,no,no,0.2,0,0,0,,,1,1,1,0,0,,1,1,1,whatsapp
U0038,García Rodríguez Auditoría,Contador,Colombia,Enterprise,89,2023-11-17,2023-08-08,suspendido,tarjeta,,,,,,,,45247,no,no,si,no,,si,2,5,0,2,no,no,si,no,1,1,1,1,1,7,0,0,0,0,0,,1,1,1,chat
U0039,Ramos Sánchez & Asociados,Contador,Panamá,Growth,35,2023-04-17,2024-02-22,activo,transferencia,,,,,,,,45033,si,si,si,si,6,no,10,23,7,2,no,no,si,si,6.4,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0040,Torres Reyes Contadores,Contador,México,Growth,35,2022-03-13,2023-05-23,cancelado,tarjeta,,,,,,,,44633,no,no,no,no,,no,0,5,3,1,no,no,si,si,0,2,0,0,4.5,13.5,0,0,0,0,0,,1,2,0,chat
U0041,Hernández López & Asociados,Contador,México,Enterprise,89,2022-04-29,2023-10-27,suspendido,OXXO,2023-07-29,voluntario,precio_alto,soporte_lento,ninguno,4,el módulo de nómina no cubría mis necesidades,44680,si,si,si,si,2,no,6,,4,5,no,no,no,no,1.1,1,1,0,3,15,0,0,0,0,0,,1,1,1,chat
U0042,Repuestos Medina,Pyme,Colombia,Pro,49,2023-03-23,2024-02-02,activo,tarjeta,,,,,,,,45008,si,no,si,si,7,no,33,59,,6,no,no,si,si,6.7,0,0,0,,,1,1,0,0,0,,1,1,1,whatsapp
U0043,Supermercado Pérez,Pyme,México,Growth,35,2023-07-06,2024-03-01,activo,transferencia,,,,,,,,45113,si,si,si,si,7,no,4,6,4,2,no,no,no,si,1.7,1,0,0,4,15,0,0,0,0,0,,1,1,0,chat
U0044,Farmacia Jiménez,Pyme,Costa Rica,Starter,19,2022-11-18,2024-01-08,activo,transferencia,,,,,,,,44883,si,si,no,si,4,no,8,16,11,1,no,no,si,si,1.9,0,0,0,,,1,1,0,0,0,,1,1,1,whatsapp
U0045,Supermercado González del Norte,Pyme,México,Starter,19,2022-05-11,2024-02-12,activo,OXXO,,,,,,,,44692,no,si,si,no,,no,1,0,6,2,no,si,no,si,4.5,1,0,0,3,5,0,0,0,1,0,4,1,2,0,chat
U0046,Transporte Morales,Pyme,República Dominicana,Starter,19,2022-08-04,2024-02-07,activo,transferencia,,,,,,,,44777,no,si,si,si,3,no,12,26,,2,no,no,si,si,2.9,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0047,Ávila Rojas Fiscalistas,Contador,México,Pro,49,2022-06-23,2024-01-19,activo,tarjeta,,,,,,,,44735,si,si,si,si,6,no,34,78,4,1,no,no,si,si,5.1,0,0,0,,,1,1,0,0,0,,1,1,1,whatsapp
U0048,Ferretería Sánchez S.R.L.,Pyme,Ecuador,Starter,19,2022-11-14,2024-01-13,activo,tarjeta,,,,,,,,44879,si,si,no,si,10,no,6,7,9,2,no,no,si,si,1.8,2,1,1,3.5,23,0,0,0,0,0,,1,2,1,chat
U0049,Salinas Reyes Consultores,Contador,Colombia,Pro,49,2023-10-07,2024-02-15,activo,transferencia,,,,,,,,45206,no,si,si,no,,no,0,0,1,2,no,no,si,si,5.5,2,0,0,4,11,0,0,0,0,0,,1,2,0,chat
U0050,Taller Jiménez,Pyme,Costa Rica,Pro,49,2022-04-20,2024-01-15,activo,tarjeta,,,,,,,,44671,no,si,si,no,,no,1,3,15,1,no,no,no,si,6.8,0,0,0,,,1,0,1,0,0,,1,1,1,whatsapp
U0051,Agropecuaria Flores Express,Pyme,Panamá,Starter,19,2022-05-17,2024-01-14,inactivo,OXXO,,,,,,,,44698,no,no,si,si,15,no,4,6,0,1,no,no,no,no,0.6,1,0,0,5,2,1,1,0,1,0,,1,3,1,chat
U0052,Salinas Morales Fiscalistas,Contador,Costa Rica,Pro,49,2023-07-16,2024-01-11,activo,transferencia,,,,,,,,45123,no,si,si,no,,si,0,0,0,3,no,no,si,si,5.8,3,1,1,3,21,1,1,0,0,0,,1,4,1,chat
U0053,Estudio Torres Consultores,Contador,República Dominicana,Growth,35,2023-06-18,2024-01-16,activo,tarjeta,,,,,,,,45095,si,si,si,si,2,no,39,55,2,1,no,no,si,si,3.2,1,0,0,5,19,1,1,0,0,0,,1,2,1,chat
U0054,Taller Pérez,Pyme,Colombia,Growth,35,2022-05-22,2024-01-25,activo,transferencia,,,,,,,,44703,si,si,no,si,4,no,22,35,4,1,no,no,si,si,2.3,1,0,0,5,8,0,0,0,0,0,,1,1,0,chat
U0055,Agropecuaria García Plus,Pyme,México,Growth,35,2022-07-31,2023-12-09,inactivo,PSE,,,,,,,,44773,no,si,no,si,1,no,12,19,3,2,no,si,no,no,1,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0056,Comidas Rápidas Cruz & Cía,Pyme,México,Pro,49,2022-11-02,2024-02-24,activo,PSE,,,,,,,,44867,si,si,si,si,4,si,33,57,14,3,si,no,si,si,2.2,1,0,0,4,8,1,0,0,0,0,,1,2,0,chat
U0057,Transporte Reyes Plus,Pyme,México,Starter,19,2022-08-13,2024-02-01,activo,tarjeta,,,,,,,,44786,si,si,si,si,9,no,25,34,1,1,no,si,no,si,6.8,2,1,1,4,22.5,0,0,0,0,0,,1,2,1,chat
U0058,Supermercado Cruz,Pyme,Colombia,Growth,35,2022-01-28,2023-11-17,suspendido,tarjeta,,,,,,,,44589,no,si,no,no,,no,2,3,2,2,no,no,no,si,1.4,3,1,0,3,9.666666667,0,0,0,0,0,,1,3,1,chat
U0059,Clínica Ramírez Plus,Pyme,Colombia,Starter,19,2022-08-05,2024-01-22,activo,transferencia,,,,,,,,44778,si,si,si,si,7,no,6,14,8,2,no,no,si,si,3.9,1,0,0,4,7,2,1,0,0,0,,1,3,1,whatsapp
U0060,Supermercado Martínez & Cía,Pyme,República Dominicana,Growth,35,2023-07-07,2024-03-01,activo,tarjeta,,,,,,,,45114,si,si,si,si,2,no,39,48,9,1,no,no,no,si,1.8,1,0,0,4,15,2,1,0,0,0,,1,3,1,whatsapp
U0061,Supermercado Rodríguez & Hijos,Pyme,Colombia,Starter,19,2022-01-21,2024-01-16,activo,tarjeta,,,,,,,,44582,si,si,si,si,4,no,28,56,4,2,no,si,no,si,3,1,1,1,1,22,1,1,0,0,0,,1,2,1,chat
U0062,Importadora González S.A.,Pyme,Colombia,Starter,19,2023-09-13,2024-02-17,activo,transferencia,,,,,,,,45182,si,si,si,si,9,no,13,18,13,2,no,no,si,si,1.6,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0063,Agropecuaria Sánchez,Pyme,Panamá,Growth,35,2023-01-20,2024-02-15,activo,tarjeta,,,,,,,,44946,no,no,si,no,,no,2,1,0,2,no,no,no,si,2.7,0,0,0,,,0,0,0,1,1,2,1,1,1,telefono
U0064,Morales Vargas Auditoría,Contador,Panamá,Pro,49,2022-05-04,2024-01-23,inactivo,transferencia,,,,,,,,44685,no,no,no,si,10,si,9,16,,1,no,no,no,si,0.9,0,0,0,,,0,0,0,1,0,,1,1,0,telefono
U0065,Morales Morales Contadores,Contador,Colombia,Pro,49,2022-01-13,2024-01-04,inactivo,tarjeta,2023-05-20,voluntario,soporte_deficiente,,Aspel,,el módulo de nómina no cubría mis necesidades,44574,no,no,no,si,19,si,4,9,1,2,si,no,no,no,1.3,1,0,0,1,24,2,1,2,0,0,,1,3,1,whatsapp
U0066,Importadora Ortiz,Pyme,Colombia,Growth,35,2023-10-29,2024-02-21,activo,PSE,,,,,,,,45228,si,si,si,si,8,no,5,9,10,1,no,si,si,si,4.5,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0067,Salinas Sánchez Auditoría,Contador,México,Growth,35,2022-09-09,2023-09-23,inactivo,tarjeta,2023-05-18,voluntario,cambio_de_negocio,,Alegra_competidor_B,3,no tenía tiempo de aprender la plataforma,44813,no,no,no,si,20,no,12,,1,1,no,no,si,si,0.4,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0068,Transporte Ramírez,Pyme,Costa Rica,Starter,19,2023-05-22,2023-10-17,inactivo,tarjeta,2024-01-10,voluntario,cambio_de_negocio,integracion_faltante,Alegra_competidor_B,5,la integración bancaria nunca funcionó,45068,no,si,no,si,3,no,12,,2,2,no,no,si,si,0.5,2,2,0,2,16.5,0,0,0,0,0,,1,2,1,chat
U0069,García Cruz Auditoría,Contador,Costa Rica,Growth,35,2022-01-11,2024-01-13,activo,tarjeta,,,,,,,,44572,si,no,si,si,1,no,7,12,10,2,no,no,si,si,1.7,0,0,0,,,2,1,2,0,0,,1,2,1,whatsapp
U0070,Farmacia Sánchez,Pyme,Colombia,Growth,35,2023-12-30,2024-02-20,activo,tarjeta,,,,,,,,45290,si,si,si,si,5,no,21,41,8,2,no,no,si,si,2,1,0,0,3,6,0,0,0,0,0,,1,1,0,chat
U0071,Constructora Flores,Pyme,Costa Rica,Starter,19,2023-07-21,2024-01-28,activo,OXXO,,,,,,,,45128,si,si,si,si,1,no,11,23,2,1,no,si,si,si,4.3,2,1,1,4,4,0,0,0,0,0,,1,2,1,chat
U0072,Importadora González,Pyme,Colombia,Starter,19,2024-01-09,2024-01-08,activo,transferencia,,,,,,,,45300,si,si,si,si,3,no,28,39,11,1,no,no,si,si,6.5,1,0,0,3,16,1,1,1,1,0,4,1,3,1,chat
U0073,Hernández Sánchez Fiscalistas,Contador,Colombia,Pro,49,2023-06-22,2024-01-07,activo,PSE,,,,,,,,45099,si,si,si,si,4,si,13,32,7,4,no,no,no,si,2.4,2,1,1,3,20.5,1,1,0,0,0,,1,3,1,chat
U0074,Taller Hernández Plus,Pyme,Colombia,Growth,35,2022-10-08,2024-01-04,activo,transferencia,,,,,,,,44842,no,si,si,no,,no,1,0,3,1,no,si,si,si,6.9,2,1,1,2.5,5.5,0,0,0,0,0,,1,2,1,chat
U0075,Ferretería Ramírez Express,Pyme,Panamá,Growth,35,2023-04-26,2024-01-22,activo,tarjeta,,,,,,,,45042,si,no,si,si,7,no,10,23,1,1,no,no,no,si,3.7,0,0,0,,,0,0,0,1,0,5,1,1,0,telefono
U0076,Importadora Medina S.A.,Pyme,Colombia,Growth,35,2023-08-14,2024-01-04,activo,tarjeta,,,,,,,,45152,no,no,si,si,2,no,4,5,5,1,no,si,si,si,4.9,0,0,0,,,1,0,1,0,0,,1,1,1,whatsapp
U0077,Torres Reyes Auditoría,Contador,Colombia,Pro,49,2023-09-13,2024-02-09,activo,tarjeta,,,,,,,,45182,no,no,no,no,,si,2,2,0,4,no,no,no,si,6.8,1,0,0,4,12,1,0,0,0,0,,1,2,0,chat
U0078,García Rodríguez Consultores,Contador,Colombia,Pro,49,2023-03-16,2024-02-09,activo,tarjeta,,,,,,,,45001,si,si,si,si,5,si,5,12,9,2,si,no,si,si,2.7,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0079,Pérez Morales Contadores,Contador,Colombia,Starter,19,2022-09-03,2024-01-05,activo,tarjeta,,,,,,,,44807,si,si,si,si,2,no,8,13,0,1,no,no,si,si,3.2,0,0,0,,,0,0,0,1,0,5,1,1,0,telefono
U0080,Supermercado Sánchez Plus,Pyme,Colombia,Starter,19,2023-12-25,2024-02-25,activo,tarjeta,,,,,,,,45285,si,si,si,si,7,no,8,15,13,1,no,si,si,si,5.6,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0081,Asesoría Ramírez Consultores,Contador,México,Pro,49,2022-07-22,2024-02-04,activo,tarjeta,,,,,,,,44764,no,si,si,si,1,si,29,61,12,6,si,no,si,si,6.2,2,1,0,2.5,19,1,1,0,0,0,,1,3,1,chat
U0082,Taller Reyes S.R.L.,Pyme,Colombia,Starter,19,2023-08-06,2023-09-28,suspendido,transferencia,2023-07-30,voluntario,cambio_de_negocio,,Siigo,1,necesitaba facturación electrónica avanzada y no funcionaba bien,45144,no,no,si,no,,no,1,,3,2,no,si,no,no,0.2,1,0,0,1,8,0,0,0,0,0,,1,1,0,chat
U0083,Distribuidora Sánchez Plus,Pyme,México,Growth,35,2023-03-19,2024-02-08,activo,tarjeta,,,,,,,,45004,si,no,si,si,1,no,5,9,3,2,no,no,si,si,3.2,0,0,0,,,1,1,0,1,1,2,1,2,1,whatsapp
U0084,López González Auditoría,Contador,México,Starter,19,2023-11-20,2024-01-26,inactivo,tarjeta,,,,,,,,45250,no,no,si,no,,no,1,0,2,2,no,no,no,si,0.3,0,0,0,,,0,0,0,2,0,4,1,2,0,telefono
U0085,Distribuidora Ortiz,Pyme,México,Starter,19,2023-08-23,2024-02-22,activo,tarjeta,,,,,,,,45161,si,si,si,si,10,no,25,35,8,1,no,no,si,si,5.3,2,1,1,2.5,21,1,1,1,1,1,3,1,4,1,chat
U0086,Clínica Vargas,Pyme,Costa Rica,Pro,49,2022-12-04,2024-02-01,activo,tarjeta,,,,,,,,44899,si,si,no,si,2,no,34,75,2,4,no,si,si,si,3.2,1,0,0,4,8,1,0,0,0,0,,1,2,0,chat
U0087,Constructora Morales,Pyme,Colombia,Starter,19,2023-02-18,2023-06-01,suspendido,transferencia,2023-12-02,involuntario,tarjeta_vencida,,ninguno,,,44975,no,no,no,no,,no,2,,0,2,no,si,no,no,0.7,1,1,1,2,5,1,1,0,0,0,,1,2,1,chat
U0088,Constructora Hernández Express,Pyme,México,Pro,49,2023-10-03,2024-01-04,activo,tarjeta,,,,,,,,45202,si,si,si,si,2,si,5,7,5,3,no,si,no,si,5.9,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0089,Hernández Vargas & Asociados,Contador,México,Starter,19,2023-10-08,2024-01-16,activo,transferencia,,,,,,,,45207,si,si,no,si,7,no,6,10,,1,no,no,si,si,2.1,1,0,0,4,11,1,0,0,1,0,,1,3,0,chat
U0090,Tienda Ortiz del Norte,Pyme,Colombia,Enterprise,89,2022-04-27,2024-01-08,activo,transferencia,,,,,,,,44678,si,si,si,si,1,no,6,15,,4,no,si,si,si,6.8,1,0,0,5,5,1,0,0,0,0,,1,2,0,chat
U0091,Panadería Rojas & Hijos,Pyme,Colombia,Pro,49,2023-04-29,2024-02-05,activo,tarjeta,,,,,,,,45045,no,si,no,si,5,si,33,74,,6,no,no,si,si,5.7,1,0,0,4,14,0,0,0,1,0,5,1,2,0,chat
U0092,Vargas García Fiscalistas,Contador,Colombia,Pro,49,2023-03-01,2024-02-20,activo,tarjeta,,,,,,,,44986,si,no,si,si,7,si,12,26,11,5,si,no,si,si,5.5,0,0,0,,,0,0,0,1,0,5,1,1,0,telefono
U0093,Salinas Díaz Fiscalistas,Contador,República Dominicana,Pro,49,2023-11-07,2024-01-10,activo,tarjeta,,,,,,,,45237,si,si,si,si,8,si,24,56,0,1,no,no,si,si,2.7,1,0,0,3,22,1,0,0,0,0,,1,2,0,chat
U0094,Panadería Cruz,Pyme,México,Growth,35,2022-11-26,2023-08-01,suspendido,transferencia,,,,,,,,44891,no,si,no,no,,no,2,4,3,1,no,no,si,no,0.2,2,0,0,4,23,0,0,0,0,0,,1,2,0,chat
U0095,Salinas López Consultores,Contador,Costa Rica,Pro,49,2023-01-31,2023-11-30,cancelado,OXXO,2023-05-31,involuntario,fallo_pago,,ninguno,,,44957,no,no,no,no,,no,2,4,3,2,no,no,no,no,0,2,0,0,3,5.5,1,1,1,0,0,,1,3,1,chat
U0096,Taller Hernández,Pyme,México,Pro,49,2023-03-27,2024-02-28,activo,tarjeta,,,,,,,,45012,si,si,si,si,2,si,34,56,,4,no,no,si,si,2.5,1,0,0,5,4,0,0,0,0,0,,1,1,0,chat
U0097,Estudio Flores Contadores,Contador,Colombia,Pro,49,2022-09-29,2024-02-14,activo,tarjeta,,,,,,,,44833,si,no,si,si,9,si,25,45,,6,no,no,si,si,2.6,3,2,0,3.333333333,16.33333333,0,0,0,0,0,,1,3,1,chat
U0098,Estudio Sánchez Contadores,Contador,México,Growth,35,2024-01-06,2023-10-17,suspendido,tarjeta,,,,,,,,45297,si,no,no,si,6,no,5,12,0,1,no,no,si,no,1,2,1,1,4,20.5,0,0,0,0,0,,1,2,1,chat
U0099,García Rodríguez Auditoría,Contador,Colombia,Growth,35,2022-04-03,2024-01-07,activo,transferencia,,,,,,,,44654,si,si,si,si,7,no,33,40,14,2,no,no,no,si,4.9,1,0,0,4,8,0,0,0,0,0,,1,1,0,chat
