user_id,nombre_empresa,segmento,pais,plan,monto_mensual_usd,fecha_registro,fecha_ultimo_pago,estado_cuenta,metodo_pago,user_id,fecha_retiro,tipo_retiro,motivo_principal,motivo_secundario,lo_reemplaza_con,nps_salida,comentario_libre,user_id,fecha_primer_login,configuracion_empresa_completa,empleados_cargados,plan_cuentas_configurado,primer_factura_emitida,dias_primer_factura,integracion_banco_conectada,facturas_emitidas_mes1,facturas_emitidas_mes3,reportes_generados_mes3,usuarios_adicionales,modulo_nomina_activo,modulo_inventario_activo,modulo_cxc_activo,login_ultimos_30_dias,sesiones_promedio_semana
U0011,Pérez Reyes & Partners,Contador,Panamá,Growth,35,2022-06-13,2023-12-18,inactivo,transferencia,U0011,2023-03-07,voluntario,precio_alto,,Contpaqi,5,mis clientes usan otro sistema y quería compatibilidad,U0011,44725,no,no,no,si,2,no,8,11,3,2,no,no,no,si,1
U0012,Torres Ramírez Contadores,Contador,México,Enterprise,89,2022-01-12,2024-01-08,activo,transferencia,,,,,,,,,U0012,44573,si,no,si,si,9,si,21,28,,5,no,no,si,si,4.6
U0013,Importadora González S.A.,Pyme,Colombia,Starter,19,2022-01-04,2023-05-15,cancelado,OXXO,U0013,2024-01-07,involuntario,transferencia_rechazada,,ninguno,,cambió de banco y no actualizó los datos de pago,U0013,44565,no,no,si,si,11,no,6,11,1,1,no,no,si,no,0
U0014,Torres Jiménez & Asociados,Contador,Colombia,Pro,49,2023-09-16,2024-01-24,activo,transferencia,,,,,,,,,U0014,45185,si,si,si,si,3,si,5,9,5,5,no,no,si,si,4.1
U0015,Panadería Medina S.A.,Pyme,México,Starter,19,2023-01-07,2023-08-18,suspendido,tarjeta,,,,,,,,,U0015,44933,no,no,si,no,,no,1,5,0,1,no,no,no,no,1
U0016,Torres González Fiscalistas,Contador,República Dominicana,Enterprise,89,2023-06-30,2024-01-09,activo,transferencia,,,,,,,,,U0016,45107,si,si,si,si,9,no,35,68,3,6,no,no,no,si,6.3
U0017,Farmacia Reyes & Cía,Pyme,México,Enterprise,89,2023-07-07,2024-02-14,activo,tarjeta,,,,,,,,,U0017,45114,si,si,si,si,7,si,40,90,2,2,no,no,si,si,4.7
U0018,Constructora Sánchez S.A.,Pyme,Panamá,Growth,35,2022-09-11,2024-01-22,activo,tarjeta,,,,,,,,,U0018,44815,si,si,si,si,6,no,6,12,0,1,no,no,si,si,3.4
U0019,Farmacia Ortiz,Pyme,Costa Rica,Starter,19,2022-02-02,2023-09-19,inactivo,tarjeta,U0019,2024-01-10,voluntario,no_vio_valor,,no_sabe,5,necesitaba facturación electrónica avanzada y no funcionaba bien,U0019,44594,no,no,si,no,,no,2,,,1,no,no,no,no,1.4
U0020,Panadería Rodríguez,Pyme,Ecuador,Growth,35,2023-04-30,2024-01-31,activo,PSE,,,,,,,,,U0020,45046,si,si,si,si,9,no,36,57,14,2,no,no,si,si,3.5
U0021,Clínica Flores S.A.,Pyme,México,Growth,35,2022-02-25,2024-02-11,activo,tarjeta,,,,,,,,,U0021,44617,si,si,si,si,10,no,25,55,4,1,no,si,no,si,2.3
U0022,Repuestos Martínez,Pyme,Colombia,Growth,35,2023-03-09,2024-01-30,activo,tarjeta,,,,,,,,,U0022,44994,si,si,si,si,10,no,7,16,9,1,no,si,si,si,4
U0023,Vargas Sánchez Consultores,Contador,México,Starter,19,2023-07-08,2023-09-24,inactivo,OXXO,,,,,,,,,U0023,45115,no,no,no,no,,no,1,2,2,2,no,no,si,no,0.8
U0024,Farmacia Morales,Pyme,México,Pro,49,2022-03-02,2024-01-01,activo,OXXO,,,,,,,,,U0024,44622,si,si,si,si,9,no,14,30,0,5,no,no,si,si,5.8
U0025,Ramos López & Partners,Contador,Costa Rica,Pro,49,2023-11-09,2024-01-10,activo,tarjeta,,,,,,,,,U0025,45239,si,si,si,si,9,no,24,47,0,5,si,no,si,si,6.1
U0026,Torres González & Asociados,Contador,Colombia,Growth,35,2022-02-21,2024-02-02,activo,PSE,,,,,,,,,U0026,44613,si,si,si,si,8,no,32,62,11,2,no,no,si,si,4.7
U0027,Estudio Medina Consultores,Contador,Colombia,Growth,35,2023-09-02,2024-02-25,activo,tarjeta,,,,,,,,,U0027,45171,si,si,no,si,6,no,35,66,0,2,no,no,si,si,1.6
U0028,Farmacia Pérez del Norte,Pyme,Colombia,Starter,19,2023-11-05,2024-02-03,activo,tarjeta,,,,,,,,,U0028,45235,si,si,no,si,7,no,4,9,3,1,no,si,no,si,2.9
U0029,Distribuidora García,Pyme,México,Growth,35,2022-11-04,2024-02-29,activo,transferencia,,,,,,,,,U0029,44869,si,no,si,si,8,no,22,30,10,1,no,si,no,si,1.8
U0030,Medina Martínez Consultores,Contador,Ecuador,Starter,19,2022-08-07,2024-01-09,activo,OXXO,,,,,,,,,U0030,44780,si,si,si,si,9,no,10,13,,1,no,no,no,si,5.4
U0031,Ferretería Vargas,Pyme,Colombia,Pro,49,2023-12-22,2024-02-21,activo,transferencia,,,,,,,,,U0031,45282,si,no,si,si,9,si,27,59,4,1,no,no,si,si,3.7
U0032,Jiménez Pérez Contadores,Contador,Ecuador,Growth,35,2022-04-29,2023-07-10,suspendido,tarjeta,U0032,2023-04-02,voluntario,soporte_deficiente,,ninguno,6,la integración bancaria nunca funcionó,U0032,44680,no,no,si,si,1,no,8,,,2,no,no,no,no,1
U0033,Ferretería Martínez Plus,Pyme,Costa Rica,Pro,49,2023-06-02,2024-02-27,activo,PSE,,,,,,,,,U0033,45079,si,si,si,si,8,si,25,41,,3,no,si,si,si,5.1
U0034,Constructora Cruz S.A.,Pyme,Colombia,Pro,49,2023-10-15,2023-03-24,cancelado,transferencia,,,,,,,,,U0034,45214,si,si,no,si,6,no,5,10,3,6,no,no,si,no,0
U0035,Tienda Cruz,Pyme,Panamá,Pro,49,2023-07-13,2024-01-24,activo,transferencia,,,,,,,,,U0035,45120,si,si,no,si,7,no,9,18,14,3,no,no,si,si,6
U0036,Transporte Vargas Express,Pyme,Panamá,Pro,49,2022-02-10,2023-08-03,suspendido,transferencia,,,,,,,,,U0036,44602,si,no,no,si,12,si,3,4,4,2,no,no,no,no,0.4
U0037,Pérez García Consultores,Contador,Costa Rica,Enterprise,89,2022-08-31,2023-12-25,suspendido,tarjeta,U0037,2024-01-06,voluntario,migro_a_competidor,,ninguno,4,el módulo de nómina no cubría mis necesidades,U0037,44804,no,si,si,si,9,si,10,22,1,2,si,no,no,no,0.2
U0038,García Rodríguez Auditoría,Contador,Colombia,Enterprise,89,2023-11-17,2023-08-08,suspendido,tarjeta,,,,,,,,,U0038,45247,no,no,si,no,,si,2,5,0,2,no,no,si,no,1
U0039,Ramos Sánchez & Asociados,Contador,Panamá,Growth,35,2023-04-17,2024-02-22,activo,transferencia,,,,,,,,,U0039,45033,si,si,si,si,6,no,10,23,7,2,no,no,si,si,6.4
U0040,Torres Reyes Contadores,Contador,México,Growth,35,2022-03-13,2023-05-23,cancelado,tarjeta,,,,,,,,,U0040,44633,no,no,no,no,,no,0,5,3,1,no,no,si,si,0
U0041,Hernández López & Asociados,Contador,México,Enterprise,89,2022-04-29,2023-10-27,suspendido,OXXO,U0041,2023-07-29,voluntario,precio_alto,soporte_lento,ninguno,4,el módulo de nómina no cubría mis necesidades,U0041,44680,si,si,si,si,2,no,6,,4,5,no,no,no,no,1.1
U0042,Repuestos Medina,Pyme,Colombia,Pro,49,2023-03-23,2024-02-02,activo,tarjeta,,,,,,,,,U0042,45008,si,no,si,si,7,no,33,59,,6,no,no,si,si,6.7
U0043,Supermercado Pérez,Pyme,México,Growth,35,2023-07-06,2024-03-01,activo,transferencia,,,,,,,,,U0043,45113,si,si,si,si,7,no,4,6,4,2,no,no,no,si,1.7
U0044,Farmacia Jiménez,Pyme,Costa Rica,Starter,19,2022-11-18,2024-01-08,activo,transferencia,,,,,,,,,U0044,44883,si,si,no,si,4,no,8,16,11,1,no,no,si,si,1.9
U0045,Supermercado González del Norte,Pyme,México,Starter,19,2022-05-11,2024-02-12,activo,OXXO,,,,,,,,,U0045,44692,no,si,si,no,,no,1,0,6,2,no,si,no,si,4.5
U0046,Transporte Morales,Pyme,República Dominicana,Starter,19,2022-08-04,2024-02-07,activo,transferencia,,,,,,,,,U0046,44777,no,si,si,si,3,no,12,26,,2,no,no,si,si,2.9
U0047,Ávila Rojas Fiscalistas,Contador,México,Pro,49,2022-06-23,2024-01-19,activo,tarjeta,,,,,,,,,U0047,44735,si,si,si,si,6,no,34,78,4,1,no,no,si,si,5.1
U0048,Ferretería Sánchez S.R.L.,Pyme,Ecuador,Starter,19,2022-11-14,2024-01-13,activo,tarjeta,,,,,,,,,U0048,44879,si,si,no,si,10,no,6,7,9,2,no,no,si,si,1.8
U0049,Salinas Reyes Consultores,Contador,Colombia,Pro,49,2023-10-07,2024-02-15,activo,transferencia,,,,,,,,,U0049,45206,no,si,si,no,,no,0,0,1,2,no,no,si,si,5.5
U0050,Taller Jiménez,Pyme,Costa Rica,Pro,49,2022-04-20,2024-01-15,activo,tarjeta,,,,,,,,,U0050,44671,no,si,si,no,,no,1,3,15,1,no,no,no,si,6.8
U0051,Agropecuaria Flores Express,Pyme,Panamá,Starter,19,2022-05-17,2024-01-14,inactivo,OXXO,,,,,,,,,U0051,44698,no,no,si,si,15,no,4,6,0,1,no,no,no,no,0.6
U0052,Salinas Morales Fiscalistas,Contador,Costa Rica,Pro,49,2023-07-16,2024-01-11,activo,transferencia,,,,,,,,,U0052,45123,no,si,si,no,,si,0,0,0,3,no,no,si,si,5.8
U0053,Estudio Torres Consultores,Contador,República Dominicana,Growth,35,2023-06-18,2024-01-16,activo,tarjeta,,,,,,,,,U0053,45095,si,si,si,si,2,no,39,55,2,1,no,no,si,si,3.2
U0054,Taller Pérez,Pyme,Colombia,Growth,35,2022-05-22,2024-01-25,activo,transferencia,,,,,,,,,U0054,44703,si,si,no,si,4,no,22,35,4,1,no,no,si,si,2.3
U0055,Agropecuaria García Plus,Pyme,México,Growth,35,2022-07-31,2023-12-09,inactivo,PSE,,,,,,,,,U0055,44773,no,si,no,si,1,no,12,19,3,2,no,si,no,no,1
U0056,Comidas Rápidas Cruz & Cía,Pyme,México,Pro,49,2022-11-02,2024-02-24,activo,PSE,,,,,,,,,U0056,44867,si,si,si,si,4,si,33,57,14,3,si,no,si,si,2.2
U0057,Transporte Reyes Plus,Pyme,México,Starter,19,2022-08-13,2024-02-01,activo,tarjeta,,,,,,,,,U0057,44786,si,si,si,si,9,no,25,34,1,1,no,si,no,si,6.8
U0058,Supermercado Cruz,Pyme,Colombia,Growth,35,2022-01-28,2023-11-17,suspendido,tarjeta,,,,,,,,,U0058,44589,no,si,no,no,,no,2,3,2,2,no,no,no,si,1.4
U0059,Clínica Ramírez Plus,Pyme,Colombia,Starter,19,2022-08-05,2024-01-22,activo,transferencia,,,,,,,,,U0059,44778,si,si,si,si,7,no,6,14,8,2,no,no,si,si,3.9
U0060,Supermercado Martínez & Cía,Pyme,República Dominicana,Growth,35,2023-07-07,2024-03-01,activo,tarjeta,,,,,,,,,U0060,45114,si,si,si,si,2,no,39,48,9,1,no,no,no,si,1.8
U0061,Supermercado Rodríguez & Hijos,Pyme,Colombia,Starter,19,2022-01-21,2024-01-16,activo,tarjeta,,,,,,,,,U0061,44582,si,si,si,si,4,no,28,56,4,2,no,si,no,si,3
U0062,Importadora González S.A.,Pyme,Colombia,Starter,19,2023-09-13,2024-02-17,activo,transferencia,,,,,,,,,U0062,45182,si,si,si,si,9,no,13,18,13,2,no,no,si,si,1.6
U0063,Agropecuaria Sánchez,Pyme,Panamá,Growth,35,2023-01-20,2024-02-15,activo,tarjeta,,,,,,,,,U0063,44946,no,no,si,no,,no,2,1,0,2,no,no,no,si,2.7
U0064,Morales Vargas Auditoría,Contador,Panamá,Pro,49,2022-05-04,2024-01-23,inactivo,transferencia,,,,,,,,,U0064,44685,no,no,no,si,10,si,9,16,,1,no,no,no,si,0.9
U0065,Morales Morales Contadores,Contador,Colombia,Pro,49,2022-01-13,2024-01-04,inactivo,tarjeta,U0065,2023-05-20,voluntario,soporte_deficiente,,Aspel,,el módulo de nómina no cubría mis necesidades,U0065,44574,no,no,no,si,19,si,4,9,1,2,si,no,no,no,1.3
U0066,Importadora Ortiz,Pyme,Colombia,Growth,35,2023-10-29,2024-02-21,activo,PSE,,,,,,,,,U0066,45228,si,si,si,si,8,no,5,9,10,1,no,si,si,si,4.5
U0067,Salinas Sánchez Auditoría,Contador,México,Growth,35,2022-09-09,2023-09-23,inactivo,tarjeta,U0067,2023-05-18,voluntario,cambio_de_negocio,,Alegra_competidor_B,3,no tenía tiempo de aprender la plataforma,U0067,44813,no,no,no,si,20,no,12,,1,1,no,no,si,si,0.4
U0068,Transporte Ramírez,Pyme,Costa Rica,Starter,19,2023-05-22,2023-10-17,inactivo,tarjeta,U0068,2024-01-10,voluntario,cambio_de_negocio,integracion_faltante,Alegra_competidor_B,5,la integración bancaria nunca funcionó,U0068,45068,no,si,no,si,3,no,12,,2,2,no,no,si,si,0.5
U0069,García Cruz Auditoría,Contador,Costa Rica,Growth,35,2022-01-11,2024-01-13,activo,tarjeta,,,,,,,,,U0069,44572,si,no,si,si,1,no,7,12,10,2,no,no,si,si,1.7
U0070,Farmacia Sánchez,Pyme,Colombia,Growth,35,2023-12-30,2024-02-20,activo,tarjeta,,,,,,,,,U0070,45290,si,si,si,si,5,no,21,41,8,2,no,no,si,si,2
U0071,Constructora Flores,Pyme,Costa Rica,Starter,19,2023-07-21,2024-01-28,activo,OXXO,,,,,,,,,U0071,45128,si,si,si,si,1,no,11,23,2,1,no,si,si,si,4.3
U0072,Importadora González,Pyme,Colombia,Starter,19,2024-01-09,2024-01-08,activo,transferencia,,,,,,,,,U0072,45300,si,si,si,si,3,no,28,39,11,1,no,no,si,si,6.5
U0073,Hernández Sánchez Fiscalistas,Contador,Colombia,Pro,49,2023-06-22,2024-01-07,activo,PSE,,,,,,,,,U0073,45099,si,si,si,si,4,si,13,32,7,4,no,no,no,si,2.4
U0074,Taller Hernández Plus,Pyme,Colombia,Growth,35,2022-10-08,2024-01-04,activo,transferencia,,,,,,,,,U0074,44842,no,si,si,no,,no,1,0,3,1,no,si,si,si,6.9
U0075,Ferretería Ramírez Express,Pyme,Panamá,Growth,35,2023-04-26,2024-01-22,activo,tarjeta,,,,,,,,,U0075,45042,si,no,si,si,7,no,10,23,1,1,no,no,no,si,3.7
U0076,Importadora Medina S.A.,Pyme,Colombia,Growth,35,2023-08-14,2024-01-04,activo,tarjeta,,,,,,,,,U0076,45152,no,no,si,si,2,no,4,5,5,1,no,si,si,si,4.9
U0077,Torres Reyes Auditoría,Contador,Colombia,Pro,49,2023-09-13,2024-02-09,activo,tarjeta,,,,,,,,,U0077,45182,no,no,no,no,,si,2,2,0,4,no,no,no,si,6.8
U0078,García Rodríguez Consultores,Contador,Colombia,Pro,49,2023-03-16,2024-02-09,activo,tarjeta,,,,,,,,,U0078,45001,si,si,si,si,5,si,5,12,9,2,si,no,si,si,2.7
U0079,Pérez Morales Contadores,Contador,Colombia,Starter,19,2022-09-03,2024-01-05,activo,tarjeta,,,,,,,,,U0079,44807,si,si,si,si,2,no,8,13,0,1,no,no,si,si,3.2
U0080,Supermercado Sánchez Plus,Pyme,Colombia,Starter,19,2023-12-25,2024-02-25,activo,tarjeta,,,,,,,,,U0080,45285,si,si,si,si,7,no,8,15,13,1,no,si,si,si,5.6
U0081,Asesoría Ramírez Consultores,Contador,México,Pro,49,2022-07-22,2024-02-04,activo,tarjeta,,,,,,,,,U0081,44764,no,si,si,si,1,si,29,61,12,6,si,no,si,si,6.2
U0082,Taller Reyes S.R.L.,Pyme,Colombia,Starter,19,2023-08-06,2023-09-28,suspendido,transferencia,U0082,2023-07-30,voluntario,cambio_de_negocio,,Siigo,1,necesitaba facturación electrónica avanzada y no funcionaba bien,U0082,45144,no,no,si,no,,no,1,,3,2,no,si,no,no,0.2
U0083,Distribuidora Sánchez Plus,Pyme,México,Growth,35,2023-03-19,2024-02-08,activo,tarjeta,,,,,,,,,U0083,45004,si,no,si,si,1,no,5,9,3,2,no,no,si,si,3.2
U0084,López González Auditoría,Contador,México,Starter,19,2023-11-20,2024-01-26,inactivo,tarjeta,,,,,,,,,U0084,45250,no,no,si,no,,no,1,0,2,2,no,no,no,si,0.3
U0085,Distribuidora Ortiz,Pyme,México,Starter,19,2023-08-23,2024-02-22,activo,tarjeta,,,,,,,,,U0085,45161,si,si,si,si,10,no,25,35,8,1,no,no,si,si,5.3
U0086,Clínica Vargas,Pyme,Costa Rica,Pro,49,2022-12-04,2024-02-01,activo,tarjeta,,,,,,,,,U0086,44899,si,si,no,si,2,no,34,75,2,4,no,si,si,si,3.2
U0087,Constructora Morales,Pyme,Colombia,Starter,19,2023-02-18,2023-06-01,suspendido,transferencia,U0087,2023-12-02,involuntario,tarjeta_vencida,,ninguno,,,U0087,44975,no,no,no,no,,no,2,,0,2,no,si,no,no,0.7
U0088,Constructora Hernández Express,Pyme,México,Pro,49,2023-10-03,2024-01-04,activo,tarjeta,,,,,,,,,U0088,45202,si,si,si,si,2,si,5,7,5,3,no,si,no,si,5.9
U0089,Hernández Vargas & Asociados,Contador,México,Starter,19,2023-10-08,2024-01-16,activo,transferencia,,,,,,,,,U0089,45207,si,si,no,si,7,no,6,10,,1,no,no,si,si,2.1
U0090,Tienda Ortiz del Norte,Pyme,Colombia,Enterprise,89,2022-04-27,2024-01-08,activo,transferencia,,,,,,,,,U0090,44678,si,si,si,si,1,no,6,15,,4,no,si,si,si,6.8
U0091,Panadería Rojas & Hijos,Pyme,Colombia,Pro,49,2023-04-29,2024-02-05,activo,tarjeta,,,,,,,,,U0091,45045,no,si,no,si,5,si,33,74,,6,no,no,si,si,5.7
U0092,Vargas García Fiscalistas,Contador,Colombia,Pro,49,2023-03-01,2024-02-20,activo,tarjeta,,,,,,,,,U0092,44986,si,no,si,si,7,si,12,26,11,5,si,no,si,si,5.5
U0093,Salinas Díaz Fiscalistas,Contador,República Dominicana,Pro,49,2023-11-07,2024-01-10,activo,tarjeta,,,,,,,,,U0093,45237,si,si,si,si,8,si,24,56,0,1,no,no,si,si,2.7
U0094,Panadería Cruz,Pyme,México,Growth,35,2022-11-26,2023-08-01,suspendido,transferencia,,,,,,,,,U0094,44891,no,si,no,no,,no,2,4,3,1,no,no,si,no,0.2
U0095,Salinas López Consultores,Contador,Costa Rica,Pro,49,2023-01-31,2023-11-30,cancelado,OXXO,U0095,2023-05-31,involuntario,fallo_pago,,ninguno,,,U0095,44957,no,no,no,no,,no,2,4,3,2,no,no,no,no,0
U0096,Taller Hernández,Pyme,México,Pro,49,2023-03-27,2024-02-28,activo,tarjeta,,,,,,,,,U0096,45012,si,si,si,si,2,si,34,56,,4,no,no,si,si,2.5
U0097,Estudio Flores Contadores,Contador,Colombia,Pro,49,2022-09-29,2024-02-14,activo,tarjeta,,,,,,,,,U0097,44833,si,no,si,si,9,si,25,45,,6,no,no,si,si,2.6
U0098,Estudio Sánchez Contadores,Contador,México,Growth,35,2024-01-06,2023-10-17,suspendido,tarjeta,,,,,,,,,U0098,45297,si,no,no,si,6,no,5,12,0,1,no,no,si,no,1
U0099,García Rodríguez Auditoría,Contador,Colombia,Growth,35,2022-04-03,2024-01-07,activo,transferencia,,,,,,,,,U0099,44654,si,si,si,si,7,no,33,40,14,2,no,no,no,si,4.9
U0100,Clínica Hernández,Pyme,Colombia,Starter,19,2022-11-29,2023-11-15,inactivo,tarjeta,U0100,2023-05-21,involuntario,tarjeta_vencida,,ninguno,,"tarjeta rechazada, no respondió a los intentos de contacto",U0100,44894,no,no,si,no,,no,2,,,1,no,si,si,si,1.3
U0101,Supermercado Sánchez,Pyme,Costa Rica,Starter,19,2022-06-29,2024-02-25,activo,tarjeta,,,,,,,,,U0101,44741,si,no,si,si,4,no,15,25,8,1,no,no,no,si,5.6
U0102,Boutique Torres & Hijos,Pyme,Colombia,Growth,35,2023-04-16,2024-01-01,activo,PSE,,,,,,,,,U0102,45032,no,si,si,si,9,no,21,39,,2,no,si,si,si,4.8
U0103,Boutique Torres,Pyme,Ecuador,Enterprise,89,2022-11-03,2024-01-28,activo,transferencia,,,,,,,,,U0103,44868,si,si,si,si,4,no,9,15,2,6,no,si,si,si,3.6
U0104,Farmacia García & Cía,Pyme,México,Starter,19,2023-08-09,2024-01-19,activo,OXXO,,,,,,,,,U0104,45147,si,si,si,si,10,no,24,36,,2,no,no,no,si,5.7
U0105,Farmacia Sánchez del Norte,Pyme,Colombia,Pro,49,2022-02-20,2023-12-31,suspendido,PSE,,,,,,,,,U0105,44612,si,no,si,si,5,no,12,27,0,2,no,no,si,si,0.3
U0106,Supermercado Rodríguez & Cía,Pyme,Colombia,Starter,19,2024-01-09,2024-02-13,activo,PSE,,,,,,,,,U0106,45300,si,si,si,si,6,no,9,12,11,2,no,no,no,si,2.9
U0107,Transporte Cruz,Pyme,República Dominicana,Starter,19,2023-01-09,2024-01-06,activo,PSE,,,,,,,,,U0107,44935,si,si,no,si,10,no,32,45,,2,no,si,si,si,5.6
U0108,Farmacia Ortiz del Norte,Pyme,México,Enterprise,89,2023-06-28,2024-01-18,activo,PSE,,,,,,,,,U0108,45105,si,si,si,si,8,si,5,8,,4,no,si,si,si,3.5
U0109,García Reyes & Partners,Contador,Colombia,Growth,35,2022-03-19,2024-01-15,activo,PSE,,,,,,,,,U0109,44639,si,si,si,si,4,no,33,68,1,2,no,no,no,si,6.9
U0110,Supermercado Ramírez Plus,Pyme,República Dominicana,Starter,19,2023-07-04,2024-01-24,activo,transferencia,,,,,,,,,U0110,45111,si,si,si,si,5,no,7,16,10,1,no,no,no,si,2.5
U0111,Morales Rojas Consultores,Contador,México,Pro,49,2023-04-28,2024-02-26,activo,OXXO,,,,,,,,,U0111,45044,si,si,si,si,7,si,31,45,9,4,no,no,no,si,1.6
U0112,Contabilidad López Fiscalistas,Contador,Costa Rica,Pro,49,2023-12-19,2024-01-27,activo,tarjeta,,,,,,,,,U0112,45279,si,si,si,si,8,si,16,39,6,4,no,no,si,si,3.5
U0113,García Vargas Auditoría,Contador,Colombia,Growth,35,2023-07-05,2024-01-30,activo,tarjeta,,,,,,,,,U0113,45112,no,si,si,no,,no,1,4,1,1,no,no,si,si,4.3
U0114,Farmacia López & Hijos,Pyme,Costa Rica,Pro,49,2023-11-02,2024-02-01,activo,transferencia,,,,,,,,,U0114,45232,si,si,si,si,4,no,24,53,7,3,si,si,si,si,4.8
U0115,Supermercado Díaz,Pyme,Ecuador,Pro,49,2022-04-12,2023-07-08,cancelado,tarjeta,,,,,,,,,U0115,44663,no,no,no,si,11,no,10,18,2,3,no,si,no,no,0
U0116,Agropecuaria García,Pyme,Ecuador,Pro,49,2023-04-11,2024-01-14,activo,transferencia,,,,,,,,,U0116,45027,si,si,si,si,6,si,13,23,2,1,no,si,no,si,6.1
U0117,Agropecuaria Pérez & Hijos,Pyme,Ecuador,Pro,49,2022-07-30,2024-02-18,activo,transferencia,,,,,,,,,U0117,44772,si,si,si,si,3,si,16,23,5,6,no,no,si,si,6.1
U0118,Constructora Ramírez S.A.,Pyme,Colombia,Pro,49,2022-01-03,2024-01-10,activo,OXXO,,,,,,,,,U0118,44564,si,si,si,si,10,no,34,46,,3,no,si,si,si,3.1
U0119,Contabilidad Hernández Contadores,Contador,Colombia,Starter,19,2022-09-01,2024-01-02,activo,tarjeta,,,,,,,,,U0119,44805,si,si,si,si,1,no,26,37,3,1,no,no,no,si,6.2
U0120,Boutique Jiménez,Pyme,Colombia,Starter,19,2023-04-05,2024-02-02,activo,transferencia,,,,,,,,,U0120,45021,si,no,si,si,7,no,39,87,,2,no,no,si,si,4.2
U0121,Contabilidad López Auditoría,Contador,Costa Rica,Enterprise,89,2023-11-06,2024-01-30,activo,transferencia,,,,,,,,,U0121,45236,no,si,no,si,8,si,4,10,2,2,no,no,si,si,6.4
U0122,Asesoría Martínez Consultores,Contador,México,Growth,35,2023-12-31,2023-06-21,suspendido,tarjeta,,,,,,,,,U0122,45291,si,si,no,si,7,no,6,9,3,2,no,no,no,no,0.3
U0123,Boutique Jiménez S.A.,Pyme,Costa Rica,Growth,35,2022-11-29,2024-02-08,activo,tarjeta,,,,,,,,,U0123,44894,si,no,si,si,8,no,30,74,0,1,no,si,si,si,3.3
U0124,Medina Sánchez Auditoría,Contador,Colombia,Pro,49,2023-07-19,2024-01-14,activo,tarjeta,,,,,,,,,U0124,45126,no,si,si,no,,si,1,0,7,2,no,no,si,si,7
U0125,Transporte Hernández Express,Pyme,México,Growth,35,2022-04-08,2024-01-21,activo,transferencia,,,,,,,,,U0125,44659,si,si,no,si,10,no,10,23,7,1,no,no,si,si,6
U0126,Constructora López S.R.L.,Pyme,República Dominicana,Starter,19,2022-04-09,2024-01-24,activo,PSE,,,,,,,,,U0126,44660,no,si,si,no,,no,2,2,5,1,no,si,no,si,6.9
